15 30
2023-05-04 15:04:28
[0][0]: X
[0][1]: X
[0][2]: X
[0][3]: X
[0][4]: X
[0][5]: X
[0][6]: X
[0][7]: X
[0][8]: X
[0][9]: X
[0][10]: X
[0][11]: X
[0][12]: X
[0][13]: X
[0][14]: X
[0][15]: X
[0][16]: X
[0][17]: X
[0][18]: X
[0][19]: X
[0][20]: X
[0][21]: X
[0][22]: X
[0][23]: X
[0][24]: X
[0][25]: X
[0][26]: X
[0][27]: X
[0][28]: X
[0][29]: X
[1][0]: X
[1][1]: . Home
[1][2]: .
[1][3]: .
[1][4]: .
[1][5]: .
[1][6]: .
[1][7]: .
[1][8]: .
[1][9]: .
[1][10]: .
[1][11]: .
[1][12]: .
[1][13]: .
[1][14]: .
[1][15]: .
[1][16]: .
[1][17]: .
[1][18]: .
[1][19]: .
[1][20]: .
[1][21]: .
[1][22]: .
[1][23]: .
[1][24]: .
[1][25]: .
[1][26]: .
[1][27]: .
[1][28]: .
[1][29]: X
[2][0]: X
[2][1]: .
[2][2]: X
[2][3]: X
[2][4]: X
[2][5]: X
[2][6]: X
[2][7]: X
[2][8]: .
[2][9]: X
[2][10]: .
[2][11]: X
[2][12]: X
[2][13]: X
[2][14]: X
[2][15]: X
[2][16]: X
[2][17]: X
[2][18]: X
[2][19]: X
[2][20]: X
[2][21]: X
[2][22]: X
[2][23]: X
[2][24]: X
[2][25]: X
[2][26]: X
[2][27]: X
[2][28]: .
[2][29]: X
[3][0]: X
[3][1]: .
[3][2]: X
[3][3]: .
[3][4]: .
[3][5]: .
[3][6]: .
[3][7]: X
[3][8]: .
[3][9]: X
[3][10]: .
[3][11]: .
[3][12]: .
[3][13]: .
[3][14]: .
[3][15]: .
[3][16]: .
[3][17]: .
[3][18]: .
[3][19]: .
[3][20]: .
[3][21]: .
[3][22]: .
[3][23]: .
[3][24]: .
[3][25]: .
[3][26]: .
[3][27]: .
[3][28]: .
[3][29]: X
[4][0]: X
[4][1]: . Ghost ghost_blue.png
[4][2]: X
[4][3]: . Pacman 3 36 pacman_up_opened.png
[4][4]: X
[4][5]: X
[4][6]: .
[4][7]: X
[4][8]: .
[4][9]: X
[4][10]: .
[4][11]: X
[4][12]: X
[4][13]: X
[4][14]: X
[4][15]: X
[4][16]: X
[4][17]: X
[4][18]: X
[4][19]: X
[4][20]: X
[4][21]: .
[4][22]: X
[4][23]: X
[4][24]: X
[4][25]: X
[4][26]: X
[4][27]: .
[4][28]: .
[4][29]: X
[5][0]: X
[5][1]: . Ghost ghost_pink.png
[5][2]: X
[5][3]: .
[5][4]: .
[5][5]: X
[5][6]: .
[5][7]: X
[5][8]: .
[5][9]: X
[5][10]: .
[5][11]: .
[5][12]: .
[5][13]: X
[5][14]: .
[5][15]: .
[5][16]: .
[5][17]: .
[5][18]: .
[5][19]: .
[5][20]: .
[5][21]: .
[5][22]: .
[5][23]: .
[5][24]: .
[5][25]: .
[5][26]: .
[5][27]: .
[5][28]: .
[5][29]: X
[6][0]: X
[6][1]: .
[6][2]: X
[6][3]: .
[6][4]: .
[6][5]: X
[6][6]: .
[6][7]: X
[6][8]: .
[6][9]: X
[6][10]: X
[6][11]: X
[6][12]: .
[6][13]: X
[6][14]: .
[6][15]: X
[6][16]: .
[6][17]: X
[6][18]: X
[6][19]: X
[6][20]: X
[6][21]: X
[6][22]: X
[6][23]: X
[6][24]: X
[6][25]: X
[6][26]: X
[6][27]: .
[6][28]: .
[6][29]: X
[7][0]: X
[7][1]: .
[7][2]: X
[7][3]: .
[7][4]: .
[7][5]: X
[7][6]: .
[7][7]: X
[7][8]: .
[7][9]: .
[7][10]: .
[7][11]: X
[7][12]: .
[7][13]: X
[7][14]: .
[7][15]: X
[7][16]: . Key
[7][17]: X
[7][18]: . Target
[7][19]: .
[7][20]: .
[7][21]: .
[7][22]: .
[7][23]: .
[7][24]: .
[7][25]: .
[7][26]: .
[7][27]: .
[7][28]: .
[7][29]: X
[8][0]: X
[8][1]: .
[8][2]: X
[8][3]: X
[8][4]: X
[8][5]: X
[8][6]: .
[8][7]: X
[8][8]: X
[8][9]: X
[8][10]: .
[8][11]: X
[8][12]: .
[8][13]: X
[8][14]: .
[8][15]: X
[8][16]: .
[8][17]: X
[8][18]: .
[8][19]: X
[8][20]: X
[8][21]: X
[8][22]: X
[8][23]: X
[8][24]: X
[8][25]: X
[8][26]: X
[8][27]: .
[8][28]: .
[8][29]: X
[9][0]: X
[9][1]: .
[9][2]: .
[9][3]: .
[9][4]: .
[9][5]: .
[9][6]: .
[9][7]: .
[9][8]: .
[9][9]: .
[9][10]: .
[9][11]: X
[9][12]: .
[9][13]: X
[9][14]: .
